"subject","trial","phase","condition","look","outcome"
13,124,"test","cs_plus_ns",NA,NA
13,125,"test","cs_minus_ns",NA,NA
13,126,"test","cs_plus_ns",NA,NA
13,127,"test","cs_minus_s",NA,NA
13,128,"test","cs_plus_s",NA,NA
13,129,"test","cs_minus_s",NA,NA
13,130,"test","cs_plus_s",NA,NA
13,131,"test","cs_minus_ns",NA,NA
13,132,"test","cs_plus_ns",NA,NA
13,133,"test","cs_plus_ns",NA,NA
13,134,"test","cs_minus_ns",NA,NA
13,135,"test","cs_minus_s",NA,NA
13,136,"test","cs_plus_s",NA,NA
13,137,"test","cs_plus_ns",NA,NA
13,138,"test","cs_minus_s",NA,NA
13,139,"test","cs_plus_s",NA,NA
13,140,"test","cs_minus_ns",NA,NA
13,141,"test","cs_plus_s",NA,NA
13,142,"test","cs_minus_ns",NA,NA
13,143,"test","cs_plus_ns",NA,NA
13,144,"test","cs_minus_s",NA,NA
13,145,"test","cs_plus_ns",NA,NA
13,146,"test","cs_minus_ns",NA,NA
13,147,"test","cs_plus_s",NA,NA
13,148,"test","cs_minus_s",NA,NA
13,149,"test","cs_minus_ns",NA,NA
13,150,"test","cs_minus_s",NA,NA
13,151,"test","cs_plus_ns",NA,NA
13,152,"test","cs_plus_s",NA,NA
14,1,"acquisition","cs_plus_s",1,"shock"
14,2,"acquisition","cs_plus_ns",1,"shock"
14,3,"acquisition","cs_minus_s",0,NA
14,4,"acquisition","cs_plus_s",1,"shock"
14,5,"acquisition","cs_minus_s",0,NA
14,6,"acquisition","cs_minus_ns",0,NA
14,7,"acquisition","cs_plus_ns",0,NA
14,8,"acquisition","cs_plus_s",0,NA
14,9,"acquisition","cs_plus_ns",0,NA
14,10,"acquisition","cs_minus_s",0,NA
14,11,"acquisition","cs_minus_ns",1,"reward"
14,12,"acquisition","cs_minus_s",1,"reward"
14,13,"acquisition","cs_minus_ns",1,"reward"
14,14,"acquisition","cs_plus_s",1,"shock"
14,15,"acquisition","cs_plus_ns",1,"shock"
14,16,"acquisition","cs_minus_ns",1,"reward"
14,17,"acquisition","cs_minus_ns",1,"reward"
14,18,"acquisition","cs_plus_s",1,"shock"
14,19,"acquisition","cs_minus_s",1,"reward"
14,20,"acquisition","cs_plus_ns",1,"shock"
14,21,"acquisition","cs_minus_ns",1,"reward"
14,22,"acquisition","cs_plus_ns",1,"shock"
14,23,"acquisition","cs_minus_s",1,"reward"
14,24,"acquisition","cs_minus_ns",1,"reward"
14,25,"acquisition","cs_minus_ns",1,"reward"
14,26,"acquisition","cs_minus_s",1,"reward"
14,27,"acquisition","cs_plus_s",1,"shock"
14,28,"acquisition","cs_plus_ns",0,NA
14,29,"acquisition","cs_plus_s",0,NA
14,30,"acquisition","cs_minus_s",0,NA
14,31,"acquisition","cs_plus_ns",0,NA
14,32,"acquisition","cs_plus_s",0,NA
14,33,"acquisition","cs_minus_ns",0,NA
14,34,"acquisition","cs_minus_s",1,"reward"
14,35,"acquisition","cs_minus_s",1,"reward"
14,36,"acquisition","cs_minus_s",0,NA
14,37,"acquisition","cs_minus_ns",1,"reward"
14,38,"acquisition","cs_plus_s",1,"shock"
14,39,"acquisition","cs_plus_s",1,"shock"
14,40,"acquisition","cs_plus_s",1,"shock"
14,41,"acquisition","cs_plus_ns",0,NA
14,42,"acquisition","cs_minus_ns",0,NA
14,43,"acquisition","cs_plus_s",1,"shock"
14,44,"acquisition","cs_minus_s",0,NA
14,45,"acquisition","cs_plus_ns",0,NA
14,46,"acquisition","cs_minus_ns",1,"reward"
14,47,"acquisition","cs_plus_ns",1,"shock"
14,48,"acquisition","cs_plus_ns",0,NA
14,49,"acquisition","cs_minus_s",0,NA
14,50,"acquisition","cs_minus_ns",0,NA
14,51,"acquisition","cs_plus_s",1,"shock"
14,52,"acquisition","cs_plus_ns",1,"shock"
14,53,"acquisition","cs_minus_s",1,"reward"
14,54,"acquisition","cs_plus_ns",1,"shock"
14,55,"acquisition","cs_minus_s",1,"reward"
14,56,"acquisition","cs_plus_ns",1,"shock"
14,57,"acquisition","cs_plus_ns",0,NA
14,58,"acquisition","cs_plus_s",1,"shock"
14,59,"acquisition","cs_plus_s",1,"shock"
14,60,"acquisition","cs_minus_s",1,"reward"
14,61,"acquisition","cs_plus_s",1,"shock"
14,62,"acquisition","cs_minus_ns",1,"reward"
14,63,"acquisition","cs_minus_ns",1,"reward"
14,64,"acquisition","cs_minus_ns",1,"reward"
14,65,"acquisition","cs_minus_ns",1,"reward"
14,66,"acquisition","cs_plus_ns",1,"shock"
14,67,"acquisition","cs_minus_ns",1,"reward"
14,68,"acquisition","cs_plus_s",1,"shock"
14,69,"acquisition","cs_plus_s",1,"shock"
14,70,"acquisition","cs_plus_s",0,NA
14,71,"acquisition","cs_minus_s",0,NA
14,72,"acquisition","cs_plus_ns",1,"shock"
14,73,"acquisition","cs_minus_s",1,"reward"
14,74,"acquisition","cs_plus_s",1,"shock"
14,75,"acquisition","cs_minus_ns",1,"reward"
14,76,"acquisition","cs_minus_s",1,"reward"
14,77,"acquisition","cs_plus_ns",0,NA
14,78,"acquisition","cs_minus_ns",1,"reward"
14,79,"acquisition","cs_minus_s",1,"reward"
14,80,"acquisition","cs_plus_ns",1,"shock"
14,81,"acquisition","cs_minus_s",1,"reward"
14,82,"acquisition","cs_plus_ns",1,"shock"
14,83,"acquisition","cs_plus_s",0,NA
14,84,"acquisition","cs_plus_s",0,NA
14,85,"acquisition","cs_plus_s",0,NA
14,86,"acquisition","cs_minus_s",0,NA
14,87,"acquisition","cs_minus_s",0,NA
14,88,"acquisition","cs_minus_ns",0,NA
14,89,"acquisition","cs_plus_ns",1,"shock"
14,90,"acquisition","cs_plus_ns",1,"shock"
14,91,"acquisition","cs_minus_s",1,"reward"
14,92,"acquisition","cs_plus_ns",1,"shock"
14,93,"acquisition","cs_plus_s",1,"shock"
14,94,"acquisition","cs_minus_ns",1,"reward"
14,95,"acquisition","cs_minus_ns",1,"reward"
14,96,"acquisition","cs_minus_ns",0,NA
14,97,"acquisition","cs_plus_s",1,"shock"
14,98,"acquisition","cs_plus_s",1,"shock"
14,99,"acquisition","cs_plus_ns",1,"shock"
14,100,"acquisition","cs_minus_ns",1,"reward"
14,101,"acquisition","cs_plus_ns",1,"shock"
14,102,"acquisition","cs_plus_ns",0,NA
14,103,"acquisition","cs_minus_s",1,"reward"
14,104,"acquisition","cs_minus_ns",1,"reward"
14,105,"acquisition","cs_plus_s",1,"shock"
14,106,"acquisition","cs_minus_s",1,"reward"
14,107,"acquisition","cs_minus_ns",1,"reward"
14,108,"acquisition","cs_minus_s",1,"reward"
14,109,"acquisition","cs_plus_ns",1,"shock"
14,110,"acquisition","cs_minus_s",1,"reward"
14,111,"acquisition","cs_plus_s",1,"shock"
14,112,"acquisition","cs_minus_ns",1,"reward"
14,113,"test","cs_plus_s",NA,NA
14,114,"test","cs_minus_s",NA,NA
14,115,"test","cs_plus_ns",NA,NA
14,116,"test","cs_minus_ns",NA,NA
14,117,"test","cs_minus_ns",NA,NA
14,118,"test","cs_minus_s",NA,NA
14,119,"test","cs_plus_ns",NA,NA
14,120,"test","cs_plus_s",NA,NA
14,121,"test","cs_plus_s",NA,NA
14,122,"test","cs_plus_ns",NA,NA
14,123,"test","cs_minus_ns",NA,NA
14,124,"test","cs_minus_s",NA,NA
14,125,"test","cs_minus_s",NA,NA
14,126,"test","cs_minus_ns",NA,NA
14,127,"test","cs_plus_ns",NA,NA
14,128,"test","cs_plus_s",NA,NA
14,129,"test","cs_minus_s",NA,NA
14,130,"test","cs_plus_ns",NA,NA
14,131,"test","cs_plus_s",NA,NA
14,132,"test","cs_minus_ns",NA,NA
14,133,"test","cs_minus_ns",NA,NA
14,134,"test","cs_minus_s",NA,NA
14,135,"test","cs_plus_s",NA,NA
14,136,"test","cs_plus_ns",NA,NA
14,137,"test","cs_minus_s",NA,NA
14,138,"test","cs_plus_s",NA,NA
14,139,"test","cs_minus_ns",NA,NA
14,140,"test","cs_plus_ns",NA,NA
14,141,"test","cs_plus_ns",NA,NA
14,142,"test","cs_minus_ns",NA,NA
14,143,"test","cs_plus_s",NA,NA
14,144,"test","cs_minus_s",NA,NA
14,145,"test","cs_minus_s",NA,NA
14,146,"test","cs_plus_ns",NA,NA
14,147,"test","cs_minus_ns",NA,NA
14,148,"test","cs_plus_s",NA,NA
14,149,"test","cs_minus_ns",NA,NA
14,150,"test","cs_minus_s",NA,NA
14,151,"test","cs_plus_s",NA,NA
14,152,"test","cs_plus_ns",NA,NA
15,1,"acquisition","cs_minus_s",1,"reward"
15,2,"acquisition","cs_minus_s",1,"reward"
15,3,"acquisition","cs_plus_s",1,"shock"
15,4,"acquisition","cs_plus_s",1,"shock"
